,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,Unnamed: 64,Unnamed: 65
6619,Anthony Johnson,Montana,BSky,30,88.8,118.4,28.5,55.2,63.66,2.8,8.0,18.6,17.6,199,227,0.877,134,264,0.508,45,101,0.446,0.3,1.4,62.2,Sr,3-Jun,23,5.27059,127.291,2.0,2010,7863,all,,1.0352945,62.0,99.0,72.0,165.0,0.6263,0.4364,1.0,1.0,1.0,,102.745,102.266,2.98583,147.782,1.87058,3.87124,-2.00066,4.79881,35.5,5.80689,-1.00808,0.7333,2.4,3.1333,2.9333,0.8,0.1,20.0667,Combo G,5.95587
6621,Jawan Carter,Delaware,CAA,31,95.6,109.1,26.1,47.7,54.99,2.1,8.1,30.5,18.1,171,212,0.807,86,186,0.462,74,227,0.326,0.0,2.0,51.3,Jr,11-May,3,4.67245,119.721,2.7,2010,7876,all,62.2,1.6236666,48.0,81.0,38.0,105.0,0.5926,0.3619,0.0,0.0,,,111.762,109.833,2.21206,176.993,2.15091,5.0336,-2.88269,3.63729,39.1613,4.78745,-1.15015,0.7419,2.5484,3.2903,4.871,1.2903,0.0,18.2258,Scoring PG,11.5586
6653,Omar Johnson,UTSA,Slnd,27,87.0,101.4,20.2,48.3,53.79,2.4,5.5,19.4,22.9,75,96,0.781,62,142,0.437,35,95,0.368,0.0,1.6,40.5,Sr,7-May,1,1.80476,99.455,2.4,2010,8076,all,,1.28171581,38.0,65.0,24.0,77.0,0.5846,0.3117,0.0,0.0,,,106.642,109.506,2.05206,130.236,-1.2834,0.731041,-2.01444,-1.74566,35.1111,0.00728538,-1.75294,0.7037,1.5926,2.2963,3.3704,0.8889,0.0,11.2593,Scoring PG,6.19747
6695,Vernon Teel,Loyola Marymount,WCC,33,87.4,106.6,25.7,50.9,55.93,5.9,11.2,30.4,22.2,157,230,0.683,148,299,0.495,18,45,0.4,1.8,2.8,66.9,Jr,Jun-00,1,3.65559,114.624,3.0,2010,8378,all,48.4,1.56409526,105.0,175.0,43.0,124.0,0.6,0.3468,0.0,0.0,,,106.841,106.43,2.43655,213.544,3.28003,3.29891,-0.0188754,3.19175,35.2424,3.51618,-0.324425,1.8485,3.5455,5.3939,5.5455,1.7576,0.6364,15.3636,Scoring PG,2.19623
6714,Gerald McLemore,Maine,AE,29,87.5,102.9,20.0,52.9,55.07,0.9,7.7,9.8,16.1,49,65,0.754,40,100,0.4,95,245,0.388,0.7,1.7,18.8,So,3-Jun,32,1.93882,100.475,2.3,2010,8453,all,,0.7036679,15.0,27.0,25.0,73.0,0.5556,0.3425,1.0,1.0,1.0,,99.2837,102.836,2.87348,156.799,-0.368147,0.624381,-0.992528,0.232351,35.1379,0.683969,-0.451618,0.2759,2.4483,2.7241,1.3103,0.9655,0.2069,14.2759,Combo G,14.6223
6747,John Shurna,Northwestern,B10,34,90.0,113.0,25.5,54.1,57.47,5.7,15.6,17.8,13.5,107,138,0.775,139,253,0.549,78,220,0.355,3.3,1.4,29.2,So,8-Jun,24,5.10712,125.371,2.4,2010,8609,all,63.2,1.31340713,93.0,134.0,46.0,119.0,0.694,0.3866,13.0,13.0,1.0,,103.495,100.397,3.26267,206.73,5.07878,5.30239,-0.223604,6.16169,36.4118,6.83737,-0.675686,1.7059,4.6471,6.3529,2.5882,0.8235,0.9412,18.2059,Stretch 4,11.3277
6787,Klay Thompson,Washington St.,P10,30,86.7,102.3,29.2,48.7,53.73,4.0,13.3,15.0,19.8,129,161,0.801,118,263,0.449,73,204,0.358,2.2,2.4,34.5,So,6-Jun,1,4.0194,117.897,2.7,2010,8716,all,91.8,0.64078293,52.0,85.0,60.0,167.0,0.6118,0.3593,8.0,8.0,1.0,11.0,103.367,100.12,3.17592,192.948,2.79355,2.55868,0.234873,3.70424,35.2667,3.88801,-0.18377,1.1667,3.9,5.0667,2.2,1.4,0.7,19.4667,Wing G,11.4471
6856,Kemba Walker,Connecticut,BE,34,88.0,106.2,23.7,45.4,52.54,3.1,9.5,29.2,20.2,155,202,0.767,114,265,0.43,38,112,0.339,1.2,3.4,53.6,So,1-Jun,15,3.99084,117.173,2.0,2010,9075,all,97.8,1.73734473,65.0,112.0,44.0,139.0,0.5804,0.3165,1.0,2.0,0.5,9.0,97.6606,91.2576,4.30595,225.079,5.87157,3.95604,1.91554,6.14797,35.2059,3.36942,2.77856,0.9412,3.3235,4.2647,5.0588,2.0588,0.4412,14.6176,Scoring PG,5.41972
6877,Anthony Campbell,Austin Peay,OVC,29,83.9,107.7,21.4,56.2,60.58,3.8,14.0,10.4,20.7,99,124,0.798,99,169,0.586,52,146,0.356,0.7,1.9,39.4,So,7-Jun,25,2.94228,108.837,1.8,2010,9175,all,,0.60255793,66.0,96.0,33.0,73.0,0.6875,0.4521,5.0,5.0,1.0,,106.684,105.97,2.48302,178.583,1.58293,2.37778,-0.794851,2.28535,35.4483,3.37933,-1.09398,1.1379,4.2759,5.4138,1.6207,1.1379,0.2414,15.6207,Wing G,8.31676
6921,Zack Rosen,Penn,Ivy,28,91.9,111.9,25.6,55.0,62.14,2.5,8.9,30.4,21.3,144,167,0.862,69,152,0.454,71,167,0.425,0.0,1.9,52.4,So,1-Jun,1,4.35781,118.651,3.0,2010,9470,all,21.0,1.34784056,45.0,83.0,24.0,69.0,0.5422,0.3478,0.0,0.0,,,112.665,113.891,1.60983,153.765,0.664801,4.34482,-3.68002,2.07754,37.1071,4.20998,-2.13244,0.75,2.5357,3.2857,4.4286,1.1429,0.0,17.6786,Pure PG,9.89909
6934,Aubrey Coleman,Houston,CUSA,34,91.5,107.4,34.1,45.4,51.11,6.4,15.6,15.6,9.9,234,318,0.736,245,542,0.452,49,159,0.308,0.5,4.1,45.4,Sr,4-Jun,12,5.72488,129.566,2.4,2010,9529,all,,1.14472326,138.0,198.0,107.0,344.0,0.697,0.311,22.0,24.0,0.9167,,100.692,97.497,3.68537,272.04,6.00026,5.49714,0.503117,8.33414,36.8824,7.55403,0.780109,2.4412,4.9706,7.4118,2.5588,2.6765,0.1765,25.6176,Wing G,7.03991
7001,Derek Williams,SMU,CUSA,29,91.9,109.8,26.0,49.4,55.14,1.5,9.1,23.4,16.4,134,178,0.753,120,241,0.498,38,117,0.325,0.4,1.6,49.7,Sr,1-Jun,3,4.6253,120.767,2.1,2010,9889,all,,1.44441759,73.0,115.0,47.0,126.0,0.6348,0.373,0.0,0.0,,,107.059,105.417,2.68974,154.543,1.63091,3.38786,-1.75696,2.80302,36.7586,3.74211,-0.939097,0.4138,2.6897,3.1034,3.5862,0.931,0.1034,16.8276,Scoring PG,6.91482
7005,Dominique Morrison,Oral Roberts,Sum,32,88.0,111.4,22.0,47.0,53.73,3.3,12.9,15.3,13.3,134,161,0.832,117,268,0.437,43,118,0.364,1.1,1.4,41.7,So,6-Jun,45,3.40252,112.352,3.0,2010,9908,all,,1.43863683,54.0,90.0,63.0,179.0,0.6,0.352,5.0,5.0,1.0,,100.016,100.407,3.18882,190.876,1.76704,2.24855,-0.481509,2.87634,35.625,2.61604,0.260293,1.0312,4.125,5.1562,2.5625,0.8438,0.4062,15.5312,Wing G,6.08791
7093,Akeem Bennett,St. Francis NY,NEC,29,88.5,90.4,29.0,42.9,48.75,6.5,15.5,28.6,24.8,135,208,0.649,104,247,0.421,26,86,0.302,1.8,3.8,62.5,Jr,2-Jun,24,1.45023,96.3142,3.6,2010,10266,all,,0.95121902,85.0,173.0,19.0,74.0,0.4913,0.2568,13.0,16.0,0.8125,,93.9464,99.6674,3.2957,220.469,-0.145561,-1.52383,1.37827,0.307551,36.0,-0.297159,0.604709,2.0345,4.4138,6.4483,4.0345,2.2069,0.5172,14.5172,Scoring PG,5.03139
7212,Dorian Green,Colorado St.,MWC,31,87.3,100.4,19.1,44.9,52.28,1.2,7.4,15.9,20.6,105,127,0.827,43,134,0.321,56,149,0.376,1.0,1.4,44.9,Fr,2-Jun,22,1.99147,100.944,2.9,2010,10550,all,9.4,1.08331183,21.0,40.0,22.0,94.0,0.525,0.234,4.0,4.0,1.0,,104.879,101.998,2.96889,159.345,0.27424,0.703059,-0.428819,0.127393,35.1935,0.371633,-0.244241,0.3548,2.0968,2.4516,2.5161,0.8065,0.2903,11.5806,Combo G,8.13505
7214,Ben Hansbrough,Notre Dame,BE,35,87.7,120.7,18.0,57.2,60.68,2.9,10.0,22.6,17.5,94,129,0.729,62,122,0.508,67,162,0.414,0.4,1.9,45.4,Jr,3-Jun,23,4.46472,121.181,2.6,2010,10553,all,25.2,2.42855555,45.0,89.0,17.0,33.0,0.5056,0.5152,0.0,0.0,,,107.949,102.657,2.90299,187.189,6.56045,6.25328,0.307162,5.18543,35.4571,4.38391,0.801522,0.8286,3.0571,3.8857,4.3714,1.0571,0.1429,11.9714,Scoring PG,8.08778
7296,Colt Ryan,Evansville,MVC,29,87.9,99.4,23.8,45.2,50.77,3.6,11.2,19.8,16.3,95,115,0.826,73,192,0.38,59,165,0.358,0.5,1.8,32.2,Fr,5-Jun,11,2.48533,104.872,3.0,2010,10780,all,25.8,1.27272734,29.0,60.0,44.0,132.0,0.4833,0.3333,0.0,0.0,,,104.734,102.062,2.98259,172.853,2.58602,2.57658,0.00944286,2.27878,35.6207,2.36984,-0.0910528,1.0345,3.2759,4.3103,2.8966,1.069,0.1379,14.4138,Combo G,9.71495
7385,Wes Channels,Austin Peay,OVC,30,89.1,103.1,25.6,48.9,53.51,3.8,10.7,19.3,18.3,119,161,0.739,97,247,0.393,66,154,0.429,0.6,2.4,40.1,Sr,3-Jun,22,3.06538,109.302,3.0,2010,11033,all,21.4,1.05748272,58.0,116.0,38.0,130.0,0.5,0.2923,2.0,3.0,0.6667,,106.972,106.475,2.47598,187.121,1.58876,2.64454,-1.05579,1.82444,36.3667,2.75282,-0.928383,1.1667,3.3667,4.5333,3.0667,1.4667,0.2,17.0333,Combo G,8.2605
7403,Tommy Mason-Griffin,Oklahoma,B12,31,88.0,104.8,23.5,49.3,53.13,1.5,7.9,29.2,19.7,74,91,0.813,77,204,0.377,70,165,0.424,0.0,1.5,24.7,Fr,11-May,11,3.68829,114.701,1.5,2010,11065,all,93.8,1.77006951,27.0,59.0,50.0,145.0,0.4576,0.3448,0.0,0.0,,,111.534,104.748,2.65744,158.869,1.68238,3.42558,-1.7432,2.4329,35.4839,3.69844,-1.26554,0.4839,2.3871,2.871,4.9677,0.9032,0.0,14.129,Pure PG,8.79603
7478,Derek Needham,Fairfield,MAAC,34,89.9,96.9,28.1,44.1,48.72,2.0,8.1,30.2,22.0,126,174,0.724,129,301,0.429,58,189,0.307,0.3,2.9,35.5,Fr,11-May,3,2.75372,106.584,3.0,2010,11248,all,,1.36155363,78.0,139.0,51.0,162.0,0.5612,0.3148,3.0,3.0,1.0,,100.923,103.01,2.93025,207.842,0.485345,1.74704,-1.26169,0.776629,36.4706,1.45279,-0.676158,0.6471,2.5588,3.2059,5.2059,1.7647,0.1176,16.4118,Scoring PG,8.99093
7552,Ceola Clark,Western Illinois,Sum,25,83.4,117.0,21.7,57.3,60.82,4.1,12.3,24.3,14.1,79,106,0.745,70,132,0.53,50,121,0.413,0.7,4.9,41.9,So,3-Jun,23,3.89052,115.632,2.7,2010,11461,all,,1.81395339,42.0,78.0,28.0,54.0,0.5385,0.5185,0.0,0.0,,,94.1365,98.1691,3.54165,181.295,9.03075,6.28641,2.74434,8.79588,36.2,4.8853,3.91058,1.2,3.68,4.88,3.12,2.72,0.24,14.76,Scoring PG,8.59984
7709,D.J. Cooper,Ohio,MAC,36,87.1,107.2,23.5,45.9,51.25,5.5,10.7,33.2,18.5,117,152,0.77,88,203,0.433,64,198,0.323,0.9,4.1,37.9,Fr,11-May,5,3.38384,112.481,2.3,2010,11908,all,59.8,2.14579824,53.0,104.0,35.0,99.0,0.5096,0.3535,0.0,0.0,,,95.5664,94.7455,3.84142,271.529,7.58518,5.15031,2.43487,6.72222,35.5833,4.19048,2.53174,1.75,3.5556,5.3056,5.7222,2.5,0.3056,13.4722,Pure PG,8.96115
7999,Khalid Mutakabbir,Presbyterian,BSth,30,86.2,79.3,19.2,41.3,44.59,3.3,7.6,14.7,26.0,48,76,0.632,76,183,0.415,16,59,0.271,1.2,1.8,31.4,Fr,4-Jun,24,-0.862329,77.2977,2.5,2010,12671,all,,0.8161034,52.0,89.0,24.0,94.0,0.5843,0.2553,4.0,4.0,1.0,,111.807,114.977,1.3793,158.887,-5.09747,-3.7449,-1.35256,-6.45108,35.2,-4.34291,-2.10818,0.9333,2.2667,3.2,2.3667,1.0667,0.4,8.2667,Combo G,3.3871
8025,Ishmael Smith,Wake Forest,ACC,31,89.8,95.7,23.4,43.4,44.23,2.7,10.7,33.5,20.0,44,89,0.494,164,365,0.449,12,54,0.222,1.7,2.6,21.2,Sr,Jun-00,10,2.60089,105.38,1.9,2010,12724,all,78.2,1.94736493,81.0,148.0,83.0,217.0,0.5473,0.3825,9.0,10.0,0.9,,97.0717,92.2473,4.26821,215.339,4.35859,1.89476,2.46384,3.97134,36.7742,2.10202,1.86932,0.9355,3.9355,4.871,5.9677,1.6774,0.6129,13.1613,Scoring PG,2.65815
8117,Chris Gaston,Fordham,A10,28,87.6,90.1,30.8,45.2,49.47,11.5,22.2,11.5,22.9,122,182,0.67,188,401,0.469,2,22,0.091,4.7,1.5,43.0,Fr,7-Jun,33,2.36846,103.986,3.0,2010,12968,all,,0.34126666,115.0,196.0,73.0,206.0,0.5867,0.3544,9.0,9.0,1.0,,104.17,101.909,2.99026,216.438,-0.402871,-1.6853,1.28243,0.232938,35.0357,1.07408,-0.841143,4.1071,7.2857,11.3929,1.5357,0.9286,1.7857,18.0,PF/C,1.23218
8292,C. J. Reed,Bethune Cookman,MEAC,30,94.7,87.7,30.5,38.9,44.33,2.4,10.6,26.7,22.0,111,146,0.76,124,322,0.385,35,132,0.265,0.3,2.5,32.2,So,3-Jun,3,1.36112,94.8611,2.0,2010,13378,all,,1.00849161,43.0,90.0,81.0,232.0,0.4778,0.3491,0.0,0.0,,,101.039,107.122,2.54749,177.286,-3.74495,-1.57497,-2.16999,-2.95743,38.0333,-0.726554,-2.23087,0.7667,3.1333,3.9,3.9667,1.4333,0.1,15.4667,Scoring PG,7.5177
8449,C.J. Wilkerson,North Carolina Central,ind,25,92.8,94.0,25.4,42.9,50.0,3.8,8.9,16.6,19.8,121,160,0.756,83,219,0.379,35,97,0.361,0.0,1.7,50.6,Jr,3-Jun,12,1.82722,98.6851,2.7,2010,13762,all,,0.7721519,42.0,89.0,41.0,132.0,0.4719,0.3106,4.0,4.0,1.0,,109.204,112.108,1.85517,134.261,-3.46595,-0.555032,-2.91092,-2.82737,37.32,-0.277418,-2.54996,1.28,2.48,3.76,2.44,1.04,0.0,15.68,Combo G,6.18144
8735,Broderick Gilchrest,Idaho St.,BSky,25,81.6,105.2,24.8,54.8,57.4,1.8,7.9,20.8,22.1,80,120,0.667,97,179,0.542,38,102,0.373,0.0,3.4,42.7,Jr,Jun-00,2,3.22985,110.948,2.6,2010,14472,all,27.6,1.07692308,80.0,120.0,17.0,59.0,0.6667,0.2881,2.0,2.0,1.0,,116.718,114.983,1.40728,139.946,-0.786991,2.81295,-3.59994,0.481407,36.08,2.38103,-1.89962,0.52,2.24,2.76,3.36,1.96,0.0,15.52,Scoring PG,7.14274
8799,Matthew Dellavedova,Saint Mary's,WCC,33,91.7,118.5,18.6,51.1,56.86,3.5,7.4,20.6,17.3,96,113,0.85,47,123,0.382,73,183,0.399,0.0,2.0,36.9,Fr,3-Jun,4,4.12766,116.935,2.4,2010,14645,all,21.0,2.26151203,24.0,43.0,23.0,76.0,0.5581,0.3026,0.0,0.0,,,102.621,99.3256,3.45928,183.011,5.35204,4.97928,0.372757,4.0561,36.8182,3.32367,0.732434,1.0303,2.5152,3.5455,4.4545,1.2121,0.0,12.3939,Scoring PG,9.04171
8929,Chris Wright,Georgetown,BE,34,87.9,112.9,22.8,52.6,56.81,2.0,8.0,22.5,16.8,108,139,0.777,140,261,0.536,43,128,0.336,0.8,2.6,35.7,Jr,1-Jun,4,4.8013,123.84,2.5,2010,16941,all,91.4,1.79220221,111.0,185.0,29.0,71.0,0.6,0.4085,1.0,1.0,1.0,,102.099,95.2,3.82113,192.204,4.51097,4.6501,-0.139132,4.93605,35.1765,3.95451,0.981539,0.5294,2.4412,2.9706,4.0588,1.5,0.2647,15.2059,Scoring PG,6.37317
8970,Jio Fontan,Fordham,A10,5,15.9,92.2,25.3,40.4,48.43,0.6,6.0,25.5,20.8,29,43,0.674,14,33,0.424,6,24,0.25,0.0,1.5,75.4,So,Jun-00,1,1.45468,96.2805,3.1,2010,19013,all,76.2,1.23529403,7.0,17.0,7.0,16.0,0.4118,0.4375,0.0,0.0,,,113.241,118.397,1.00158,25.6199,-4.53541,-0.264826,-4.27058,-2.45427,35.6,-0.271882,-2.18239,0.2,2.0,2.2,4.2,1.0,0.0,15.0,Scoring PG,7.40574
9086,Bo Spencer,LSU,SEC,30,87.2,89.8,26.2,40.7,46.38,1.2,6.6,17.2,21.9,99,118,0.839,77,199,0.387,61,215,0.284,0.5,1.9,28.5,Jr,1-Jun,11,1.88004,99.5339,1.5,2010,22922,all,51.8,0.80001794,43.0,72.0,34.0,127.0,0.5972,0.2677,0.0,0.0,,,107.314,102.659,2.98298,151.916,-1.6029,-0.425084,-1.17782,-1.09642,36.2,-0.0910407,-1.00538,0.4,2.0667,2.4667,2.6667,1.1,0.1667,14.5333,Combo G,12.3661
9256,Mike Gerrity,USC,P10,22,66.1,100.4,16.8,45.1,50.97,0.6,8.3,21.2,21.0,56,76,0.737,47,109,0.431,18,55,0.327,1.0,1.3,46.3,Sr,1-Jun,44,1.98305,100.399,2.0,2010,49830,all,,1.75551204,25.0,44.0,21.0,60.0,0.5682,0.35,0.0,0.0,,,95.2181,89.2433,4.64889,116.117,2.96414,0.358394,2.60575,2.96349,36.3636,0.00804233,2.95545,0.1818,2.5455,2.7273,3.5909,0.7727,0.3182,9.2727,Scoring PG,4.33073
9265,Christopher Jones,Prairie View A&M,SWAC,22,74.2,98.1,17.2,44.1,53.13,4.4,10.9,31.2,27.1,74,101,0.733,46,105,0.438,7,23,0.304,0.8,4.5,78.9,Sr,Jun-00,,0.632643,89.7122,2.2,2010,50033,all,,1.77418203,37.0,82.0,9.0,23.0,0.4512,0.3913,0.0,0.0,,,89.9168,99.9007,3.23215,164.303,1.73866,-0.982349,2.72101,1.11146,35.4091,-1.90511,3.01657,1.5,3.5455,5.0455,5.0,2.6818,0.2273,8.5,Pure PG,1.73619
9291,Charles Jenkins,Hofstra,CAA,32,92.4,123.2,28.7,57.7,62.93,1.6,8.6,31.3,12.8,179,217,0.825,176,317,0.555,63,152,0.414,1.8,2.7,46.3,Sr,3-Jun,22,6.65016,136.761,2.1,2011,57,all,,2.11262838,93.0,139.0,83.0,178.0,0.6691,0.4663,0.0,0.0,,44.0,107.807,106.346,2.6405,192.184,7.09443,8.32456,-1.23013,9.82813,37.4062,8.91582,0.912311,0.5,2.7188,3.2188,4.6875,1.6562,0.625,22.5,Scoring PG,7.86487
9306,Kyle Riley,Howard,MEAC,24,70.3,90.0,19.0,46.0,48.38,1.1,7.2,26.6,26.2,41,67,0.612,65,144,0.451,21,66,0.318,0.0,2.8,31.9,Sr,3-Jun,15,0.046226,85.3063,2.4,2011,150,all,,1.25713993,44.0,89.0,21.0,55.0,0.4944,0.3818,5.0,5.0,1.0,,106.843,112.706,1.73334,137.269,-4.68852,-2.25388,-2.43464,-4.01513,35.125,-2.65914,-1.35599,0.375,2.0833,2.4583,3.6667,1.625,0.0,9.75,Scoring PG,4.69225
9309,Jay Threatt,Delaware St.,MEAC,28,90.4,107.0,20.7,48.0,51.71,4.3,9.9,36.5,20.3,55,78,0.705,72,156,0.462,24,69,0.348,0.6,5.4,34.7,Jr,11-May,4,2.5495,105.256,1.9,2011,161,all,,2.58464728,21.0,37.0,51.0,119.0,0.5676,0.4286,0.0,0.0,,,103.633,108.05,2.36735,189.048,2.11373,2.56452,-0.450794,2.52042,36.4643,1.73874,0.781675,1.25,2.5714,3.8214,6.0,3.0,0.2143,9.6786,Pure PG,4.45182
9315,JaJuan Johnson,Purdue,B10,34,88.1,113.9,27.3,50.9,56.36,7.9,20.2,6.4,10.3,169,209,0.809,242,469,0.516,15,51,0.294,6.7,1.5,40.2,Sr,10-Jun,25,5.65182,131.13,1.8,2011,203,all,91.6,0.58927814,49.0,74.0,193.0,395.0,0.6622,0.4886,23.0,26.0,0.8846,27.0,89.3372,84.06,5.24379,262.089,7.16089,3.02668,4.13421,9.51149,35.3824,6.66198,2.84951,2.4118,6.1471,8.5588,0.9706,0.8824,2.3235,20.5294,PF/C,2.56606
9319,Robo Kreps,Illinois Chicago,Horz,30,95.6,105.4,21.7,50.1,53.68,1.6,11.2,17.1,18.4,79,101,0.782,92,197,0.467,68,190,0.358,0.2,2.0,26.1,Sr,1-Jun,3,3.206,109.099,1.7,2011,231,all,57.6,1.11842269,48.0,93.0,42.0,97.0,0.5161,0.433,0.0,0.0,,,106.112,104.256,3.00689,190.724,1.93943,2.22255,-0.283118,2.21638,38.7,2.21969,-0.00330709,0.5333,3.6667,4.2,2.8333,1.2333,0.0667,15.5667,Combo G,9.98552
9321,D.J. Gay,San Diego St.,MWC,35,89.7,109.3,17.7,46.9,49.6,0.9,6.3,15.9,13.1,62,91,0.681,61,160,0.381,72,200,0.36,0.2,1.8,25.3,Sr,Jun-00,23,3.03929,109.334,0.9,2011,262,all,35.0,2.34038268,19.0,25.0,42.0,135.0,0.76,0.3111,0.0,0.0,,,98.0811,93.9333,4.10859,179.254,3.86209,3.02319,0.838901,3.38128,36.1429,1.92943,1.45185,0.2857,2.0,2.2857,3.1429,1.0286,0.0571,11.4286,Combo G,9.89572
9324,Dante Jackson,Xavier,A10,32,86.9,103.5,13.1,48.3,50.51,2.4,8.2,10.5,16.5,31,43,0.721,27,60,0.45,56,170,0.329,0.7,2.2,18.7,Sr,5-Jun,25,1.334,95.9839,3.0,2011,269,all,81.4,1.57503996,13.0,25.0,14.0,35.0,0.52,0.4,0.0,0.0,,,99.6405,96.9659,3.61478,188.213,4.35276,2.34535,2.00741,2.46199,35.3125,0.173055,2.28894,0.6562,2.4688,3.125,1.9688,1.2812,0.2188,7.9062,Combo G,9.19682
9334,Jeremy Hazell,Seton Hall,BE,18,50.8,107.7,26.0,50.7,55.02,2.0,9.1,10.8,11.3,78,104,0.75,69,135,0.511,47,140,0.336,0.2,4.0,37.8,Sr,5-Jun,21,4.56069,122.442,1.2,2011,370,all,,0.90623242,52.0,82.0,17.0,53.0,0.6341,0.3208,14.0,15.0,0.9333,,94.6731,87.0249,4.85089,123.203,7.43818,5.18274,2.25545,8.8058,35.2778,5.6886,3.1172,0.6667,2.8333,3.5,1.6111,2.3889,0.0556,19.8333,Combo G,12.8496
9341,Malcolm Delaney,Virginia Tech,ACC,34,94.5,112.3,25.9,51.5,58.53,2.6,8.3,22.7,18.6,181,213,0.85,102,237,0.43,84,206,0.408,0.5,2.6,48.1,Sr,3-Jun,23,5.34959,125.692,2.7,2011,423,all,85.8,1.33009828,52.0,96.0,50.0,141.0,0.5417,0.3546,1.0,1.0,1.0,,96.6029,93.0156,4.45017,222.372,6.42743,5.36085,1.06658,7.73847,38.2353,5.76072,1.97775,0.7941,2.7059,3.5,4.0294,1.6471,0.1765,18.7353,Scoring PG,9.61182
9356,LaceDarius Dunn,Baylor,B12,27,79.0,104.1,28.7,50.5,55.63,2.9,9.9,14.3,21.4,117,142,0.824,77,172,0.448,86,236,0.364,0.1,2.1,34.8,Sr,4-Jun,24,4.28881,120.143,2.7,2011,476,all,92.0,0.59595823,35.0,51.0,42.0,121.0,0.6863,0.3471,3.0,4.0,0.75,,99.0217,96.1418,3.74921,157.477,1.87669,3.13609,-1.2594,4.00074,35.2593,4.3631,-0.362357,0.8148,2.963,3.7778,2.1852,1.2593,0.037,19.5926,Combo G,14.6578
9397,John Roberson,Texas Tech,B12,30,82.1,102.2,22.2,50.5,55.48,0.7,5.8,24.2,23.9,90,108,0.833,49,138,0.355,78,191,0.408,0.4,1.8,32.8,Sr,11-May,21,2.84002,108.306,3.2,2011,765,all,73.2,1.34342427,9.0,32.0,40.0,106.0,0.2813,0.3774,0.0,0.0,,,109.872,105.66,2.58355,155.694,0.34105,2.44034,-2.09929,0.734263,35.3,2.09415,-1.35989,0.2,1.7667,1.9667,4.4333,1.1333,0.1667,14.0667,Pure PG,10.234
9441,Rick Jackson,Syracuse,BE,34,88.6,113.2,19.7,59.4,58.77,11.5,20.5,12.1,17.9,70,133,0.526,189,318,0.594,0,0,0.0,8.0,2.3,41.8,Sr,9-Jun,0,4.16352,118.778,2.2,2011,1035,all,87.2,1.05636426,152.0,203.0,37.0,115.0,0.7488,0.3217,47.0,53.0,0.8868,,89.9678,84.6348,5.20173,276.025,10.405,3.62844,6.7766,8.37457,35.7059,4.47754,3.89703,3.3824,6.9118,10.2941,2.2059,1.3529,2.5,13.1765,C,0.0
9451,Kris Richard,Tulane,CUSA,27,89.2,106.4,17.8,47.8,50.17,6.7,14.5,13.4,13.4,41,59,0.695,51,111,0.459,51,156,0.327,2.2,3.2,22.1,Sr,5-Jun,0,2.22859,102.924,2.9,2011,1070,all,50.8,1.60530054,35.0,66.0,16.0,45.0,0.5303,0.3556,2.0,4.0,0.5,,99.1572,99.5243,3.39335,187.967,3.95008,2.22754,1.72254,3.07176,35.8519,1.97114,1.10062,2.0741,3.963,6.037,2.2593,1.8519,0.6667,10.963,Wing G,9.77754
9453,Diante Garrett,Iowa St.,B12,32,90.7,100.7,27.8,47.0,49.73,1.1,9.7,33.9,18.4,66,80,0.825,155,333,0.465,59,185,0.319,0.6,2.6,15.4,Sr,4-Jun,10,3.478,112.544,1.9,2011,1080,all,64.2,1.83963776,81.0,112.0,74.0,221.0,0.7232,0.3348,2.0,2.0,1.0,,99.6266,96.4144,3.84271,218.772,2.20178,2.21667,-0.0148985,3.07914,36.7188,2.41463,0.664509,0.375,3.3438,3.7188,6.0938,1.7188,0.2188,17.2812,Scoring PG,8.90203
9456,Jack Eggleston,Penn,Ivy,28,91.1,109.6,19.2,56.2,58.87,5.4,23.2,13.4,17.0,61,83,0.735,106,203,0.522,32,71,0.451,2.6,1.4,30.3,Sr,8-Jun,24,2.8228,107.244,1.9,2011,1084,all,13.8,1.09092295,76.0,115.0,30.0,88.0,0.6609,0.3409,10.0,12.0,0.8333,,101.708,101.006,3.27872,194.769,3.13603,1.22543,1.9106,3.20838,37.4286,2.81543,0.392951,1.5,6.5,8.0,2.1429,0.8571,0.7857,13.1786,Stretch 4,4.22862
9526,Byron Mulkey,Buffalo,MAC,33,87.9,109.2,21.2,49.6,54.45,0.7,11.9,24.7,19.8,100,128,0.781,92,209,0.44,53,137,0.387,0.1,4.2,37.0,Sr,Jun-00,2,3.05594,109.976,2.5,2011,1542,all,,1.79516552,49.0,82.0,43.0,127.0,0.5976,0.3386,0.0,0.0,,,94.3576,95.2094,3.86949,235.754,2.9597,2.19453,0.765171,3.29975,35.4242,1.19145,2.1083,0.2121,3.6364,3.8485,4.5152,2.5152,0.0303,13.4242,Scoring PG,6.92613
